path    axes  conc   strain   image      delta_E     pot         d_pot 
3R      1     0.50     LM      7         0.3480   -20.8611    -0.1099
3R      1     0.50     LM      8         0.2874   -20.7044    -0.2666
3R      1     0.50     LM      9         0.1577   -20.5375    -0.4335
3R      1     0.50     LM     10         0.0784   -20.4165    -0.5545
    
3       2     0.50     LM      0         0.0000   -20.5133     0.0000
3       2     0.50     LM      1         0.1024   -20.6050     0.0917
3       2     0.50     LM      2         0.2072   -20.7398     0.2265
3       2     0.50     LM      3         0.2618   -20.8999     0.3866
3       2     0.50     LM      4         0.2730   -21.1053     0.5920
3       2     0.50     LM      5         0.2637   -21.2459     0.7326
3       2     0.50     LM      6         0.2318   -21.2538     0.7405
3       2     0.50     LM      7         0.1812   -21.1670     0.6537
3       2     0.50     LM      8         0.0935   -21.0743     0.5610
3       2     0.50     LM      9        -0.0114   -21.0085     0.4952
3       2     0.50     LM     10        -0.0925   -20.9697     0.4564
    
3R      2     0.50     LM      0         0.0000   -20.9697     0.0000
3R      2     0.50     LM      1         0.0812   -21.0085     0.0388
3R      2     0.50     LM      2         0.1860   -21.0743     0.1046
3R      2     0.50     LM      3         0.2738   -21.1670     0.1973
3R      2     0.50     LM      4         0.3244   -21.2538     0.2841
3R      2     0.50     LM      5         0.3563   -21.2459     0.2762
3R      2     0.50     LM      6         0.3655   -21.1053     0.1356
3R      2     0.50     LM      7         0.3544   -20.8999    -0.0698
3R      2     0.50     LM      8         0.2998   -20.7398    -0.2299
3R      2     0.50     LM      9         0.1949   -20.6050    -0.3647
3R      2     0.50     LM     10         0.0925   -20.5133    -0.4564
    
3       3     0.50     LM      0         0.0000   -20.4192     0.0000
3       3     0.50     LM      1         0.0916   -20.5308     0.1116
3       3     0.50     LM      2         0.2258   -20.7042     0.2850
3       3     0.50     LM      3         0.2872   -20.8746     0.4554
3       3     0.50     LM      4         0.3044   -21.1081     0.6889
3       3     0.50     LM      5         0.3006   -21.2555     0.8363
3       3     0.50     LM      6         0.2898   -21.2591     0.8399
3       3     0.50     LM      7         0.2376   -21.1717     0.7525
3       3     0.50     LM      8         0.1284   -21.0767     0.6575
3       3     0.50     LM      9         0.0063   -21.0059     0.5867
3       3     0.50     LM     10        -0.0620   -20.9697     0.5505
    
3R      3     0.50     LM      0         0.0000   -20.9697     0.0000
3R      3     0.50     LM      1         0.0683   -21.0059     0.0362
3R      3     0.50     LM      2         0.1904   -21.0767     0.1070
3R      3     0.50     LM      3         0.2996   -21.1717     0.2020
3R      3     0.50     LM      4         0.3518   -21.2591     0.2894
3R      3     0.50     LM      5         0.3626   -21.2555     0.2858
3R      3     0.50     LM      6         0.3664   -21.1081     0.1384
3R      3     0.50     LM      7         0.3492   -20.8746    -0.0951
3R      3     0.50     LM      8         0.2878   -20.7042    -0.2655
3R      3     0.50     LM      9         0.1536   -20.5308    -0.4389
3R      3     0.50     LM     10         0.0620   -20.4192    -0.5505
    
1       1     0.50     LT      0         0.0000   -21.1805     0.0000
1       1     0.50     LT      1         0.0721   -21.2336     0.0531
1       1     0.50     LT      2         0.2088   -21.3143     0.1338
1       1     0.50     LT      3         0.2796   -21.3980     0.2175
1       1     0.50     LT      4         0.3312   -21.5059     0.3254
1       1     0.50     LT      5         0.3482   -21.5807     0.4002
1       1     0.50     LT      6         0.2986   -21.4952     0.3147
1       1     0.50     LT      7         0.2220   -21.3397     0.1592
1       1     0.50     LT      8         0.1166   -21.2126     0.0321
1       1     0.50     LT      9        -0.0431   -21.1000    -0.0805
1       1     0.50     LT     10        -0.1337   -21.0362    -0.1443
    
1       2     0.50     LT      0         0.0000   -21.0307     0.0000
1       2     0.50     LT      1         0.0925   -21.0962     0.0655
1       2     0.50     LT      2         0.2510   -21.2077     0.1770
1       2     0.50     LT      3         0.3555   -21.3339     0.3032
1       2     0.50     LT      4         0.4314   -21.4876     0.4569
1       2     0.50     LT      5         0.4819   -21.5745     0.5438
1       2     0.50     LT      6         0.4657   -21.5026     0.4719
1       2     0.50     LT      7         0.4273   -21.4031     0.3724
1       2     0.50     LT      8         0.3286   -21.3099     0.2792
1       2     0.50     LT      9         0.2075   -21.2297     0.1990
1       2     0.50     LT     10         0.1337   -21.1837     0.1530
    
1       3     0.50     LT      0         0.0000   -21.1785     0.0000
1       3     0.50     LT      1         0.0921   -21.2279     0.0494
1       3     0.50     LT      2         0.2142   -21.2976     0.1191
1       3     0.50     LT      3         0.2996   -21.3859     0.2074
1       3     0.50     LT      4         0.3549   -21.4838     0.3053
1       3     0.50     LT      5         0.3857   -21.5319     0.3534
1       3     0.50     LT      6         0.3551   -21.4840     0.3055
1       3     0.50     LT      7         0.2904   -21.3827     0.2042
1       3     0.50     LT      8         0.2147   -21.2980     0.1195
1       3     0.50     LT      9         0.0924   -21.2294     0.0509
1       3     0.50     LT     10         0.0000   -21.1764    -0.0021
    
2       1     0.50     LT      0         0.0000   -21.0298     0.0000
2       1     0.50     LT      1         0.0632   -21.0863     0.0565
2       1     0.50     LT      2         0.2386   -21.1794     0.1496
2       1     0.50     LT      3         0.3321   -21.3198     0.2900
2       1     0.50     LT      4         0.4174   -21.5057     0.4759
2       1     0.50     LT      5         0.4706   -21.5998     0.5700
2       1     0.50     LT      6         0.4177   -21.5034     0.4736
2       1     0.50     LT      7         0.3325   -21.3222     0.2924
2       1     0.50     LT      8         0.2392   -21.1780     0.1482
2       1     0.50     LT      9         0.0860   -21.0849     0.0551
2       1     0.50     LT     10        -0.0001   -21.0391     0.0093
    
2       2     0.50     LT      0         0.0000   -21.1965     0.0000
2       2     0.50     LT      1         0.0807   -21.2388     0.0423
2       2     0.50     LT      2         0.2043   -21.3057     0.1092
2       2     0.50     LT      3         0.2894   -21.3975     0.2010
2       2     0.50     LT      4         0.3652   -21.5139     0.3174
2       2     0.50     LT      5         0.4079   -21.5775     0.3810
2       2     0.50     LT      6         0.3650   -21.5135     0.3170
2       2     0.50     LT      7         0.2892   -21.3947     0.1982
2       2     0.50     LT      8         0.2041   -21.3053     0.1088
2       2     0.50     LT      9         0.0806   -21.2388     0.0423
2       2     0.50     LT     10        -0.0000   -21.1954    -0.0011
    
2       3     0.50     LT      0         0.0000   -21.1960     0.0000
2       3     0.50     LT      1         0.0785   -21.2387     0.0427
2       3     0.50     LT      2         0.2031   -21.3049     0.1089
2       3     0.50     LT      3         0.2890   -21.3881     0.1921
2       3     0.50     LT      4         0.3719   -21.5113     0.3153
2       3     0.50     LT      5         0.4085   -21.5789     0.3829
2       3     0.50     LT      6         0.3720   -21.5118     0.3158
2       3     0.50     LT      7         0.2892   -21.3897     0.1937
2       3     0.50     LT      8         0.2034   -21.3051     0.1091
2       3     0.50     LT      9         0.0788   -21.2384     0.0424
2       3     0.50     LT     10         0.0000   -21.1959    -0.0001
    
3       1     0.50     LT      0         0.0000   -20.8790     0.0000
3       1     0.50     LT      1         0.0893   -20.9919     0.1129
3       1     0.50     LT      2         0.2052   -21.1187     0.2397
3       1     0.50     LT      3         0.2732   -21.2595     0.3805
3       1     0.50     LT      4         0.3240   -21.4896     0.6106
